tid,posx,posy,posz,velx,vely,velz,accx,accy,accz,pointx1,pointy1,pointz1,doppler1,snr1,pointx2,pointy2,pointz2,doppler2,snr2,pointx3,pointy3,pointz3,doppler3,snr3,pointx4,pointy4,pointz4,doppler4,snr4,pointx5,pointy5,pointz5,doppler5,snr5,pointx6,pointy6,pointz6,doppler6,snr6
0.0,0.0834961980581283,3.0036654472351074,-0.4499796144002175,0.1091910973191261,0.0880090668797493,-3.573562207748182e-05,0.0684343427419662,0.0119879459962248,-2.3320950276684016e-05,0.0,2.888917922973633,-0.6602851867675781,0.0,13.0,0.0,2.9965639114379883,-0.4496423721313477,0.0,18.75,,,,,,,,,,,,,,,,,,,,
0.0,0.0834961980581283,3.0036654472351074,-0.4499796144002175,0.1091910973191261,0.0880090668797493,-3.573562207748182e-05,0.0684343427419662,0.0119879459962248,-2.3320950276684016e-05,0.0,2.889633178710937,-0.598773193359375,0.0,12.0,0.0,3.0069351196289062,-0.3681032180786133,0.0,18.5,,,,,,,,,,,,,,,,,,,,
0.0,0.0834961980581283,3.0036654472351074,-0.4499796144002175,0.1091910973191261,0.0880090668797493,-3.573562207748182e-05,0.0684343427419662,0.0119879459962248,-2.3320950276684016e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,0.0834961980581283,3.0036654472351074,-0.4499796144002175,0.1091910973191261,0.0880090668797493,-3.573562207748182e-05,0.0684343427419662,0.0119879459962248,-2.3320950276684016e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,0.0834961980581283,3.0036654472351074,-0.4499796144002175,0.1091910973191261,0.0880090668797493,-3.573562207748182e-05,0.0684343427419662,0.0119879459962248,-2.3320950276684016e-05,0.0,2.871394157409668,-0.5597917556762695,0.0,13.25,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,0.0834961980581283,3.0036654472351074,-0.4499796144002175,0.1091910973191261,0.0880090668797493,-3.573562207748182e-05,0.0684343427419662,0.0119879459962248,-2.3320950276684016e-05,0.0,2.868533134460449,-0.543698501586914,0.0,12.75,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,0.084257110953331,3.005879163742065,-0.44997985436675647,0.1104093044996261,0.0906086340546608,-3.631546496762894e-05,0.0693468376994133,0.0138760339468717,-2.365980253671296e-05,0.0,3.1349658966064453,-0.3423540115356446,0.1917510479688644,12.75,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,0.084257110953331,3.005879163742065,-0.44997985436675647,0.1104093044996261,0.0906086340546608,-3.631546496762894e-05,0.0693468376994133,0.0138760339468717,-2.365980253671296e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,0.084257110953331,3.005879163742065,-0.44997985436675647,0.1104093044996261,0.0906086340546608,-3.631546496762894e-05,0.0693468376994133,0.0138760339468717,-2.365980253671296e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,0.084257110953331,3.005879163742065,-0.44997985436675647,0.1104093044996261,0.0906086340546608,-3.631546496762894e-05,0.0693468376994133,0.0138760339468717,-2.365980253671296e-05,0.0,2.8928518295288086,-0.4889814376831054,0.0,14.0,0.0,3.161787986755371,-0.3899185180664063,0.0,18.5,0.0,3.0105113983154297,-0.2940742492675781,0.0,20.25,0.0,3.086686134338379,-0.3223268508911132,0.0,22.25,,,,,,,,,,
